season,game_month,feature,n_rows,n_observed,mean,std,q10,q25,median,q75,q90
2019,3,asof_pitcher_success_rate,13395,13235,0.5622102272006044,0.13957798136322888,0.411765,0.489436,0.560345,0.645308,0.714286
2019,3,asof_pitcher_reverse_rate,13395,13235,0.18634988260672458,0.122916051464616,0.05,0.103226,0.177215,0.24602800000000002,0.32214680000000007
2019,3,asof_pitcher_middle_rate,13395,13235,0.12135975160559123,0.0828399944116431,0.0322581,0.07189935,0.115385,0.16129,0.2
2019,3,asof_pitcher_ball_rate,13395,13235,0.3767226736985267,0.11401607499742364,0.276428,0.333333,0.368056,0.416667,0.478261
2019,3,asof_pitcher_strike_rate,13395,13235,0.45379460319607107,0.11714124435107355,0.35,0.401674,0.452381,0.5,0.5625
2019,3,asof_pitcher_prev1_game_success_rate,13395,6955,0.5548340888569375,0.13910119184347453,0.375,0.463636,0.5625,0.666667,0.727273
2019,3,asof_pitcher_prev3_game_success_rate,13395,6955,0.5481723708123653,0.11192434526426388,0.416667,0.466667,0.55,0.625,0.6875
2019,3,asof_pitcher_prev5_game_success_rate,13395,6955,0.5492920757728254,0.11203048479184397,0.416667,0.466667,0.551724,0.628571,0.6875
2019,3,asof_pitcher_prev1_game_middle_rate,13395,6955,0.1269340943781452,0.1019679279152069,0.0,0.0666667,0.117647,0.166667,0.222222
2019,3,asof_pitcher_prev3_game_middle_rate,13395,6955,0.13368079922358017,0.07129569192223147,0.0512821,0.0833333,0.125,0.170213,0.214286
2019,3,asof_pitcher_prev5_game_middle_rate,13395,6955,0.13327257994248742,0.07105453644405582,0.0512821,0.0833333,0.125,0.168421,0.214286
2019,3,asof_batter_success_rate,13395,13221,0.5675682758490281,0.13349250632146759,0.417391,0.5,0.571429,0.632353,0.708333
2019,3,asof_batter_middle_rate,13395,13221,0.12053322201043795,0.08009212635884454,0.030303,0.0789474,0.115044,0.157895,0.2
2019,3,asof_pitcher_fastball_rate,13395,13235,0.5955949733282963,0.1571098872689496,0.428571,0.49453499999999995,0.58125,0.6837485,0.8
2019,3,asof_pitcher_breaking_rate,13395,13235,0.2695086450850019,0.1513819178046133,0.0833333,0.163265,0.266667,0.352941,0.466667
2019,3,asof_pitcher_offspeed_rate,13395,13235,0.13489636943256517,0.13235762754343636,0.0,0.0,0.107143,0.222222,0.310345
2019,3,control_success,13395,13395,0.5696901829040687,0.4951379412612622,0.0,0.0,1.0,1.0,1.0
2019,4,asof_pitcher_success_rate,39478,39414,0.5700494373065408,0.08387091663761091,0.48243640000000004,0.523256,0.565217,0.61708675,0.666667
2019,4,asof_pitcher_reverse_rate,39478,39414,0.17492380736032884,0.07134810571866769,0.0973451,0.123967,0.170886,0.2189885,0.258065
2019,4,asof_pitcher_middle_rate,39478,39414,0.11882999299487491,0.04425957244204425,0.0703125,0.0948276,0.121212,0.142259,0.163701
2019,4,asof_pitcher_ball_rate,39478,39414,0.37230342995128635,0.0590888876698708,0.318841,0.3440185,0.37037,0.39578725000000003,0.426471
2019,4,asof_pitcher_strike_rate,39478,39414,0.4427315209570204,0.05797973949941627,0.387097,0.417582,0.444444,0.46875,0.5
2019,4,asof_pitcher_prev1_game_success_rate,39478,37476,0.5730416484683531,0.12769884667557577,0.416667,0.5,0.575758,0.666667,0.727273
2019,4,asof_pitcher_prev3_game_success_rate,39478,37476,0.5707810215604653,0.0925964226229549,0.45614,0.51087,0.568182,0.632653,0.689655
2019,4,asof_pitcher_prev5_game_success_rate,39478,37476,0.5681971973262887,0.08469352620635408,0.466667,0.516949,0.5625,0.621681,0.675
2019,4,asof_pitcher_prev1_game_middle_rate,39478,37476,0.11566750219607215,0.07038436665987023,0.0294118,0.0707071,0.113636,0.15625,0.196429
2019,4,asof_pitcher_prev3_game_middle_rate,39478,37476,0.11741616026256806,0.046537561857495253,0.0576923,0.0879479,0.117021,0.14658,0.173913
2019,4,asof_pitcher_prev5_game_middle_rate,39478,37476,0.11900403127067989,0.041609998813310664,0.0649351,0.0930233,0.117788,0.143939,0.169492
2019,4,asof_batter_success_rate,39478,39397,0.5685887655405234,0.07422575806237816,0.491071,0.528529,0.566667,0.604508,0.648148
2019,4,asof_batter_middle_rate,39478,39397,0.11893580425666929,0.04257253367090532,0.0769231,0.0972222,0.12,0.140351,0.158537
2019,4,asof_pitcher_fastball_rate,39478,39414,0.5758317581570002,0.11704692318874757,0.444444,0.489274,0.563158,0.649194,0.734848
2019,4,asof_pitcher_breaking_rate,39478,39414,0.2770123061780078,0.11805654764404767,0.12152080000000001,0.196133,0.272727,0.362069,0.4340819
2019,4,asof_pitcher_offspeed_rate,39478,39414,0.14715592857334955,0.11841737943368846,0.0,0.045836299999999996,0.135593,0.21940375,0.3068708000000001
2019,4,control_success,39478,39478,0.5751304524038705,0.49432944979924903,0.0,0.0,1.0,1.0,1.0
2019,5,asof_pitcher_success_rate,44713,44654,0.5603819668204415,0.0834381349670825,0.473404,0.5147744999999999,0.558659,0.60681325,0.649123
2019,5,asof_pitcher_reverse_rate,44713,44654,0.18129957707036326,0.06747883725835721,0.1044934,0.136364,0.177323,0.226415,0.2554278000000001
2019,5,asof_pitcher_middle_rate,44713,44654,0.12157771602767949,0.0392472032084133,0.0816327,0.104478,0.122222,0.139202,0.158879
2019,5,asof_pitcher_ball_rate,44713,44654,0.3700840346665472,0.051814968529662594,0.322581,0.342222,0.367698,0.3910145,0.4199648
2019,5,asof_pitcher_strike_rate,44713,44654,0.4389485684417969,0.050889080179171445,0.392857,0.41518075,0.441781,0.46652350000000004,0.489691
2019,5,asof_pitcher_prev1_game_success_rate,44713,43066,0.5578048812520318,0.14123905420833613,0.389831,0.472727,0.559322,0.653465,0.72
2019,5,asof_pitcher_prev3_game_success_rate,44713,43066,0.5553528060883295,0.0985408033658569,0.4375,0.488971,0.555184,0.61324,0.678571
2019,5,asof_pitcher_prev5_game_success_rate,44713,43066,0.5565532787581852,0.08852820983448553,0.451923,0.504673,0.555814,0.608108,0.666667
2019,5,asof_pitcher_prev1_game_middle_rate,44713,43066,0.12443628789532346,0.08229930909580578,0.0272727,0.0740741,0.117021,0.166667,0.22549
2019,5,asof_pitcher_prev3_game_middle_rate,44713,43066,0.12260823888218082,0.049728635776398036,0.0668896,0.0912162,0.120879,0.150442,0.181818
2019,5,asof_pitcher_prev5_game_middle_rate,44713,43066,0.12181641079041473,0.04221588837498888,0.0754717,0.0969828,0.119835,0.143426,0.174636
2019,5,asof_batter_success_rate,44713,44653,0.5661459609208788,0.0726387463460313,0.492891,0.529762,0.56079,0.58967,0.637755
2019,5,asof_batter_middle_rate,44713,44653,0.11926796290058901,0.039316617178349604,0.0786517,0.106227,0.120713,0.136232,0.152866
2019,5,asof_pitcher_fastball_rate,44713,44654,0.5705751029918933,0.11289494214828523,0.4364898,0.49416000000000004,0.558228,0.64360525,0.7293541
2019,5,asof_pitcher_breaking_rate,44713,44654,0.28408738496215347,0.11716670501451011,0.143617,0.205279,0.2753145,0.36592,0.4397674
2019,5,asof_pitcher_offspeed_rate,44713,44654,0.14533750881108073,0.1109228519481616,0.00909091,0.0574713,0.13241550000000002,0.216783,0.3
2019,5,control_success,44713,44713,0.5685371144857201,0.4952859277432472,0.0,0.0,1.0,1.0,1.0
2019,6,asof_pitcher_success_rate,41941,41914,0.5593258621701579,0.07508880878182793,0.47121270000000004,0.51520025,0.553157,0.6008945,0.6532945000000001
2019,6,asof_pitcher_reverse_rate,41941,41914,0.1820778207424727,0.06426995174869803,0.105263,0.134752,0.181049,0.226994,0.254902
2019,6,asof_pitcher_middle_rate,41941,41914,0.12695058725008349,0.03463382179305115,0.09375,0.1111975,0.125106,0.14001375,0.15755240000000004
2019,6,asof_pitcher_ball_rate,41941,41914,0.3664462729159708,0.04171808321068432,0.325472,0.3416035,0.3651415,0.388393,0.41185710000000014
2019,6,asof_pitcher_strike_rate,41941,41914,0.4417916047859904,0.04271458169290409,0.3996321,0.420601,0.44395700000000005,0.46495600000000004,0.4834487
2019,6,asof_pitcher_prev1_game_success_rate,41941,41145,0.5670443030744927,0.14147530548105136,0.4,0.477477,0.57,0.658228,0.735849
2019,6,asof_pitcher_prev3_game_success_rate,41941,41145,0.5636722466885404,0.09820031279289763,0.44164,0.5,0.560656,0.627389,0.6934521999999973
2019,6,asof_pitcher_prev5_game_success_rate,41941,41145,0.5609937542593266,0.0899768211132462,0.45,0.501071,0.553535,0.618644,0.683778
2019,6,asof_pitcher_prev1_game_middle_rate,41941,41145,0.12974121186049337,0.09214110335479657,0.04,0.08,0.117647,0.166667,0.230769
2019,6,asof_pitcher_prev3_game_middle_rate,41941,41145,0.12771272373799974,0.04831290706494758,0.0694444,0.097561,0.125581,0.15493,0.188889
2019,6,asof_pitcher_prev5_game_middle_rate,41941,41145,0.12779708521327016,0.041504575674598115,0.078125,0.102345,0.126761,0.14914,0.180723
2019,6,asof_batter_success_rate,41941,41909,0.5625215160037224,0.06654266732770706,0.4949296,0.529534,0.559494,0.585515,0.6237420000000001
2019,6,asof_batter_middle_rate,41941,41909,0.12412352163258489,0.032249154948908454,0.09407958000000001,0.112339,0.123644,0.137592,0.1546616
2019,6,asof_pitcher_fastball_rate,41941,41914,0.5593294446962829,0.10179574969726055,0.441826,0.491409,0.544194,0.6264135000000001,0.6927787000000001
2019,6,asof_pitcher_breaking_rate,41941,41914,0.28166020582621565,0.10888153407875183,0.144928,0.2103045,0.2794445,0.35003975,0.43587070000000006
2019,6,asof_pitcher_offspeed_rate,41941,41914,0.15901034591353727,0.112492668861594,0.0231481,0.06385245,0.144126,0.22496325,0.32113860000000044
2019,6,control_success,41941,41941,0.5674399752032617,0.49543688013397846,0.0,0.0,1.0,1.0,1.0
2019,7,asof_pitcher_success_rate,29821,29809,0.555365723338589,0.0694418521591119,0.4753732,0.518395,0.554974,0.597345,0.639706
2019,7,asof_pitcher_reverse_rate,29821,29809,0.185455192311047,0.059714521505234944,0.11682440000000001,0.142108,0.187023,0.225146,0.2504524
2019,7,asof_pitcher_middle_rate,29821,29809,0.12875822678016707,0.031357236189691017,0.09862522,0.114391,0.126294,0.141421,0.1595684
2019,7,asof_pitcher_ball_rate,29821,29809,0.36800164658324663,0.04376002678487014,0.326101,0.343195,0.363158,0.387283,0.4156452
2019,7,asof_pitcher_strike_rate,29821,29809,0.44045112105068934,0.041597403072814364,0.3951388,0.421474,0.445157,0.462358,0.48308419999999996
2019,7,asof_pitcher_prev1_game_success_rate,29821,29418,0.5646419327622545,0.1402384928699505,0.375,0.481013,0.57377,0.655172,0.730337
2019,7,asof_pitcher_prev3_game_success_rate,29821,29418,0.564754045278401,0.0966601815230364,0.433099,0.5,0.572993,0.628906,0.681004
2019,7,asof_pitcher_prev5_game_success_rate,29821,29418,0.5639636207084098,0.08431018369571845,0.451064,0.515873,0.569845,0.619369,0.665116
