pitcher_id,season,game_month,n_rows,target_rate,asof_pitcher_success_rate,asof_pitcher_reverse_rate,asof_pitcher_middle_rate,asof_pitcher_ball_rate,asof_pitcher_strike_rate,asof_pitcher_prev1_game_success_rate,asof_pitcher_prev3_game_success_rate,asof_pitcher_prev5_game_success_rate,asof_pitcher_prev1_game_middle_rate,asof_pitcher_prev3_game_middle_rate,asof_pitcher_prev5_game_middle_rate,asof_batter_success_rate,asof_batter_middle_rate,asof_pitcher_fastball_rate,asof_pitcher_breaking_rate,asof_pitcher_offspeed_rate,cluster
21961,2019,3,189,0.5608465608465608,0.5199214361702128,0.18511713297872343,0.047002471808510644,0.3359674574468085,0.4831750212765958,0.582418,0.582418,0.582418,0.04395600000000001,0.04395600000000001,0.04395600000000001,0.5714985944444445,0.07772251444444445,0.6033044095744681,0.1526670265957447,0.24402857021276594,1
23422,2019,3,183,0.5027322404371585,0.5340352307692308,0.22463044505494506,0.10187735879120878,0.39547663186813187,0.3882215,0.505376,0.505376,0.505376,0.129032,0.129032,0.129032,0.5230731609195403,0.09431832298850576,0.592263043956044,0.3292008186813187,0.07853613186813187,1
23496,2019,3,71,0.5352112676056338,0.5543611285714286,0.2756349285714286,0.12323844714285716,0.3225905142857143,0.5338805428571428,0.5608754310344828,0.591203,0.591203,0.13557310344827586,0.11817723793103448,0.11817723793103448,0.596882676056338,0.12212441549295776,0.8915859285714286,0.10841406428571429,0.0,1
23665,2019,3,57,0.5087719298245614,0.5077298392857142,0.09778159642857143,0.1603181625,0.5184040178571429,0.31213976785714287,0.5122387924528302,0.5110445283018868,0.5110445283018868,0.22348286792452832,0.22607003773584905,0.22607003773584905,0.6218864464285714,0.12066761428571428,0.3743892678571429,0.6182152857142856,0.007395405357142857,0
23501,2019,3,96,0.5208333333333334,0.5482904105263158,0.29169943157894734,0.06605948947368422,0.3979975473684211,0.5111659368421052,0.564787095890411,0.5375200547945206,0.5375200547945206,0.07928000684931508,0.07937014657534247,0.07937014657534247,0.6040818936170212,0.10054005319148937,0.5932349789473684,0.26706698947368424,0.1396980105263158,1
22253,2019,3,65,0.35384615384615387,0.327469734375,0.4392288125,0.094345865625,0.496480484375,0.391274953125,0.3508986666666667,0.34144083333333336,0.32938633333333334,0.14869279999999999,0.12058424166666666,0.12333581666666667,0.502389,0.12044004615384615,0.552292609375,0.34819959375,0.0995077796875,0
22548,2019,3,79,0.46835443037974683,0.49002297435897435,0.25348152564102566,0.1406834576923077,0.31232974358974364,0.5714741794871795,0.5743001643835617,0.5252143835616438,0.5252143835616438,0.0715704794520548,0.1491551095890411,0.1491551095890411,0.5871860769230769,0.1078467641025641,0.7138021794871795,0.1396631358974359,0.14653474358974358,1
21955,2019,3,210,0.638095238095238,0.620464966507177,0.15952239473684213,0.15308753779904305,0.3975561626794258,0.41791182296650714,0.663636,0.663636,0.663636,0.136364,0.136364,0.136364,0.6205984129353234,0.12350552139303483,0.48703383253588517,0.35994874162679424,0.153017390430622,1
23782,2019,3,169,0.7041420118343196,0.7051571607142857,0.16844807738095238,0.06131041964285714,0.38607626785714283,0.41324513095238097,0.738095,0.738095,0.738095,0.0595238,0.0595238,0.0595238,0.65401155,0.086758230625,0.599712744047619,0.2878940357142857,0.11239324166666667,1
22734,2019,3,94,0.5638297872340425,0.5565868494623656,0.2691793978494624,0.07705670537634408,0.35453518279569896,0.5562487204301075,0.6262012972972972,0.5882538783783784,0.5865267702702703,0.04336521621621622,0.07141882837837837,0.0752921635135135,0.600803623655914,0.07848234623655914,0.5688564086021506,0.08235087634408603,0.34879279569892474,1
23759,2019,3,59,0.5423728813559322,0.6344735862068965,0.16114525862068965,0.07335801896551725,0.3222573275862069,0.5703338793103448,0.5126892727272727,0.6013439318181818,0.6013439318181818,0.16079545454545455,0.07337751136363636,0.07337751136363636,0.5674532881355933,0.14187805762711864,0.817263948275862,0.18273605172413793,0.0,1
22730,2019,3,116,0.5,0.4433423739130435,0.2574722347826087,0.21856086086956522,0.3812380695652174,0.48317581739130433,0.5662214693877551,0.48052559183673477,0.47018480612244895,0.12683930612244898,0.18435938775510208,0.18983738775510206,0.5861478260869565,0.1187881495652174,0.5495237304347826,0.4504762695652174,0.0,0
22717,2019,3,80,0.5125,0.5277041392405063,0.24577854430379747,0.18452896202531646,0.38526416455696205,0.517680911392405,0.47901895454545457,0.5038614696969698,0.5078779545454546,0.18376125757575756,0.17069712121212122,0.1688895303030303,0.582544075,0.14349872375,0.6139059240506329,0.3860940759493671,0.0,0
22118,2019,3,53,0.6037735849056604,0.43412384615384614,0.3686926923076923,0.12701983653846155,0.3419060192307692,0.4360947307692307,0.609429282051282,0.49673789743589747,0.49673789743589747,0.06043964102564103,0.13080402564102564,0.13080402564102564,0.5155280961538462,0.15435944038461538,0.7234713846153846,0.24780128846153845,0.028727269230769233,0
22703,2019,3,186,0.45698924731182794,0.42972062162162167,0.19272583513513514,0.14063848216216215,0.3791805837837838,0.43972125945945945,0.444444,0.444444,0.444444,0.123457,0.123457,0.123457,0.5051437457627118,0.11851799152542372,0.5392090972972973,0.25957238918918923,0.20121844918918919,0
23411,2019,3,186,0.5483870967741935,0.532359027027027,0.1351383745945946,0.07780660648648649,0.3753783891891892,0.4268591405405405,0.4651159999999999,0.4651159999999999,0.4651159999999999,0.104651,0.104651,0.104651,0.5761181129943502,0.0694224966101695,0.5901742756756757,0.3815713945945946,0.02825427837837838,1
23455,2019,3,95,0.3368421052631579,0.2840914255319149,0.3664575425531915,0.1282113414893617,0.38972311702127654,0.45640109574468085,0.176471,0.176471,0.176471,0.11764699999999999,0.11764699999999999,0.11764699999999999,0.5443415212765957,0.08462410425531915,0.6863658191489362,0.16334581276595744,0.1502885,0
22154,2019,3,78,0.44871794871794873,0.45718997402597406,0.18789594155844155,0.10106825584415585,0.23638833766233766,0.589271116883117,0.40574745762711867,0.4032933050847458,0.40236889830508477,0.05706635593220339,0.08538014576271187,0.08565962033898306,0.47862993589743585,0.1384474653846154,0.5211801298701298,0.4420967142857143,0.03672319090909091,1
21789,2019,3,65,0.5384615384615384,0.548494265625,0.1552124125,0.132582075,0.322271421875,0.456912265625,0.5411224339622641,0.5389014905660376,0.5370260943396227,0.15493463396226415,0.14735936981132075,0.14287884150943397,0.6083726875,0.0937055921875,0.651169765625,0.147802975,0.20102725,1
21372,2019,3,64,0.421875,0.4162512857142857,0.2551919682539682,0.09582907142857143,0.43987630158730157,0.37925238095238095,0.43998840816326534,0.45508938775510205,0.45508938775510205,0.12404615918367347,0.10417132857142856,0.10417132857142856,0.463852,0.10118651451612903,0.5578777301587301,0.4361179841269841,0.00600424126984127,0
22389,2019,3,54,0.6666666666666666,0.6653994339622642,0.17144128490566038,0.028864022641509435,0.3762273396226415,0.3865797924528302,0.6864815555555555,0.706296488888889,0.706296488888889,0.03888888888888889,0.015555555555555557,0.015555555555555557,0.5735994716981132,0.15973782075471699,0.592198716981132,0.4078012830188679,0.0,1
22668,2019,3,90,0.4666666666666667,0.4680308539325843,0.17589088539325842,0.12818089550561798,0.45568213483146064,0.3524268988764045,0.3806856901408451,0.4395845633802817,0.4395845633802817,0.17811161971830985,0.16530795774647888,0.16530795774647888,0.45734649425287355,0.1194527712643678,0.6206881348314607,0.1523205988764045,0.22699124719101124,0
21654,2019,3,81,0.5679012345679012,0.44586095,0.27087347500000003,0.03229425625,0.4842444125,0.3156449625,0.48234608333333334,0.402838,0.402838,0.041523000000000004,0.023832920833333333,0.023832920833333333,0.5911487654320987,0.1195075160493827,0.6833236125,0.04759836875,0.269078075,1
23415,2019,3,196,0.6479591836734694,0.6301576717948718,0.03396263794871795,0.11850156512820513,0.318178358974359,0.4559274307692308,0.6236560000000001,0.6236560000000001,0.6236560000000001,0.129032,0.129032,0.129032,0.5520492634408602,0.10460459784946237,0.5345336256410256,0.2306246,0.23484172358974362,1
23694,2019,3,207,0.6618357487922706,0.6169418009708738,0.08791756796116504,0.14991099417475728,0.4394048252427184,0.40030465048543684,0.596154,0.596154,0.596154,0.192308,0.192308,0.192308,0.5918425939086295,0.13299547208121829,0.5664586262135922,0.20580255339805825,0.22773878640776699,1
23090,2019,3,78,0.5512820512820513,0.5844140909090909,0.05801116363636364,0.1787648181818182,0.467965051948052,0.39083157142857144,0.6103457213114754,0.5953020163934426,0.5953020163934426,0.18907562295081964,0.1952244262295082,0.19442081967213115,0.5636591282051282,0.14156164743589744,0.34140983116883117,0.3822296363636363,0.27636040259740263,1
22427,2019,3,59,0.5254237288135594,0.5690101896551725,0.15336122413793105,0.19207120689655174,0.39305637931034487,0.4486435517241379,0.5764705882352941,0.6022410784313725,0.6022410784313725,0.16302521960784314,0.19467770588235295,0.19467770588235295,0.5299253728813559,0.1179053152542373,0.5821446551724138,0.3922130517241379,0.025642272413793105,1
23238,2019,3,78,0.5512820512820513,0.5268097662337662,0.13971693766233767,0.21846631168831168,0.32664544155844155,0.4883661558441558,0.6288956307692308,0.5767406769230768,0.5674265846153846,0.15575269230769231,0.19380855384615386,0.18985021538461538,0.5365107435897436,0.1472721153846154,0.7355159090909091,0.2644840909090909,0.0,0
21432,2019,3,57,0.631578947368421,0.6339434464285715,0.1080707125,0.12966193750000002,0.289200875,0.4945261785714286,0.6639220434782608,0.6376552608695653,0.6376552608695653,0.08443120869565218,0.12360113043478262,0.12360113043478262,0.5653519298245614,0.15718905087719298,0.6475499107142857,0.31250623214285717,0.03994391071428571,1
22231,2019,3,71,0.676056338028169,0.5908097428571428,0.07211193714285714,0.12966794714285715,0.31693205714285716,0.5549281714285714,0.5715299104477612,0.5384159104477613,0.5384159104477613,0.15442019402985074,0.19563892537313432,0.19563892537313432,0.6427263731343283,0.09459095820895522,0.45834934285714285,0.06766711142857143,0.4739835428571429,1
22525,2019,3,99,0.5757575757575758,0.6419354081632653,0.09472647755102041,0.12910654693877552,0.4681602653061224,0.36315001020408166,0.5671538690476191,0.6258769285714285,0.6323902619047619,0.16657197142857144,0.12476254761904763,0.11818178571428571,0.5818564444444445,0.11446361313131313,0.6470209387755101,0.15783010204081632,0.19514900714285716,1
23766,2019,3,199,0.5527638190954773,0.5597336010101011,0.17978043434343433,0.10710990858585859,0.444043601010101,0.3552057878787879,0.583333,0.583333,0.583333,0.114583,0.114583,0.114583,0.6050043421052631,0.09316531263157894,0.7791163131313131,0.12298215555555556,0.0979015904040404,1
23713,2019,3,188,0.526595744680851,0.6047837754010695,0.1885169935828877,0.10823193155080214,0.4006363101604278,0.4276787058823529,0.593023,0.593023,0.593023,0.116279,0.116279,0.116279,0.6433168268156425,0.1365831625698324,0.4723261497326203,0.4751971122994652,0.05247671122994653,1
23363,2019,3,71,0.5915492957746479,0.5986545857142858,0.18753574714285715,0.16890178571428574,0.34253794285714284,0.4710486,0.7649731111111111,0.6694604074074073,0.6694604074074073,0.053426425925925926,0.13386746296296298,0.13386746296296298,0.5800906478873239,0.13154181971830986,0.5699263285714286,0.4300736714285714,0.0,1
22254,2019,3,58,0.5689655172413793,0.46233808771929824,0.0828617947368421,0.11624600175438597,0.43323024561403506,0.4166802456140351,0.5968709565217392,0.48912219565217396,0.48912219565217396,0.027832652173913043,0.05837268260869565,0.05837268260869565,0.5421611034482758,0.13181324137931033,0.4455425614035088,0.47316763157894737,0.0812898350877193,1
21690,2019,3,123,0.5528455284552846,0.5505030327868853,0.1874407950819672,0.1349184926229508,0.39893423770491804,0.4656614918032787,0.4409184298245614,0.529059149122807,0.529059149122807,0.11261606140350877,0.12956935087719298,0.12956935087719298,0.6102893089430894,0.13030212357723578,0.42460963114754097,0.06752146229508198,0.5078688852459016,1
