balls_before,strikes_before,n_2023,n_2024,rate_2023,rate_2024,delta_2024_minus_2023
0,0,63138.0,65317.0,0.5028508980328804,0.4862899398318967,-0.01656095820098369
0,1,30327.0,31402.0,0.5120519668941867,0.5010508884784408,-0.011001078415745935
0,2,14526.0,16155.0,0.5017898939832025,0.49229340761374185,-0.009496486369460655
1,0,25591.0,26438.0,0.49658082919776486,0.4799152734700053,-0.016665555727759573
1,1,25293.0,25313.0,0.5050804570434507,0.4862323707186031,-0.018848086324847635
1,2,23456.0,24399.0,0.504305934515689,0.497807287183901,-0.0064986473317879545
2,0,8774.0,9392.0,0.49213585593799863,0.47327512776831343,-0.018860728169685204
2,1,13479.0,13446.0,0.49692113658283255,0.47411869701026327,-0.022802439572569277
2,2,20380.0,20640.0,0.49730127576054955,0.49064922480620154,-0.00665205095434801
3,0,2858.0,3214.0,0.48775367389783064,0.4819539514623522,-0.005799722435478438
3,1,5807.0,6020.0,0.4802824177716549,0.4591362126245847,-0.02114620514707022
3,2,11896.0,11771.0,0.4656186953597848,0.45697052077138733,-0.00864817458839745
