pitcher_id,season,n_rows,target_rate,asof_pitcher_success_rate,asof_pitcher_reverse_rate,asof_pitcher_middle_rate,asof_pitcher_ball_rate,asof_pitcher_strike_rate,asof_pitcher_prev1_game_success_rate,asof_pitcher_prev3_game_success_rate,asof_pitcher_prev5_game_success_rate,asof_pitcher_prev1_game_middle_rate,asof_pitcher_prev3_game_middle_rate,asof_pitcher_prev5_game_middle_rate,asof_batter_success_rate,asof_batter_middle_rate,asof_pitcher_fastball_rate,asof_pitcher_breaking_rate,asof_pitcher_offspeed_rate,cluster
21961,2019,2699,0.6091144868469803,0.610219623795404,0.12109537175685692,0.1270131504447739,0.3414356634544107,0.45813916308376573,0.6084388397239263,0.6084725559815951,0.6109610088190184,0.15696605444785278,0.15078400625,0.14421710517638037,0.5541368217342761,0.12306754707852624,0.5920984451445515,0.19121449740548555,0.21668706641957003,0
23422,2019,2746,0.48215586307356156,0.5027737737704918,0.23807155846994538,0.1491656740619308,0.30308304007285974,0.4777023992714025,0.4827717512250283,0.47899401356954396,0.48166541613268,0.15748601598190728,0.1586195337353939,0.158125568790049,0.5543709831932773,0.12217151571063209,0.5964610167577414,0.3240578735883424,0.0794811016029144,1
23496,2019,921,0.5874049945711184,0.5788449010869566,0.1943219902173913,0.13253779847826086,0.3450118347826087,0.45154786195652175,0.5812823237885463,0.5903446640969163,0.5873127411894273,0.14997447940528635,0.14879095165198236,0.1399058774229075,0.5498524766558089,0.12919019945711183,0.8464598804347827,0.10713923423913044,0.046400869347826085,0
23665,2019,932,0.5021459227467812,0.4939806573576799,0.1950282963480129,0.14875086584317937,0.4345612524167562,0.38159525349087003,0.52504865625,0.5078078243534483,0.49941281788793107,0.13481622489224138,0.13761411950431035,0.14491327262931036,0.5403315853920515,0.13490101353383457,0.4870169044038668,0.4904437132116004,0.02253936530612245,1
23614,2019,761,0.5847568988173456,0.5900592907894737,0.18161422802631577,0.12714338486842106,0.2946296,0.49434643289473684,0.5882278763297872,0.5866880997340426,0.5705405904255318,0.1685302005319149,0.13194642287234043,0.13977166808510638,0.551941046113307,0.130478990513834,0.6786999710526315,0.29288617368421055,0.02841386039473684,0
23501,2019,982,0.5040733197556008,0.5194013261977574,0.2479114108053007,0.12965198369011213,0.37876469113149847,0.4655993037716616,0.5119038700729927,0.5014266016684046,0.5038399885297185,0.1285732606882169,0.13637776725755996,0.1373019921793535,0.5502536792645557,0.12759198273748723,0.6110404689092762,0.2790885891946993,0.1098709382262997,0
22253,2019,1074,0.5735567970204841,0.47016449021435225,0.28339533364398883,0.11355195945945945,0.3786867875116496,0.4460704249767008,0.5818707559129612,0.5758767568590349,0.5559686102175969,0.09508611655629139,0.09587764881740776,0.10311631892147587,0.572303536380597,0.11726777266791046,0.49046802609506057,0.4108049114631873,0.09872706234855545,0
21955,2019,2908,0.578748280605227,0.5967025579635363,0.12874956484348127,0.14566775693154455,0.3376871100791194,0.4773608582731338,0.5906951118656183,0.5825106754824876,0.586365734810579,0.14314010017869908,0.14417178137955683,0.1442676005003574,0.5559587957916523,0.12881991697136944,0.4226026539387685,0.4241325827313382,0.153264758376333,0
23782,2019,2896,0.5946132596685083,0.6116137340241796,0.14657722884283247,0.10061508870466322,0.33604984352331607,0.4678358234887737,0.591459775604552,0.5968065149359886,0.5983955846372688,0.1055442731152205,0.10217101699857752,0.0996159796230441,0.5589707746967071,0.12804817542461006,0.5233110870466322,0.30312624801381693,0.17356267965457686,0
22734,2019,922,0.5379609544468547,0.5578301270358306,0.22096515526601518,0.12347631498371335,0.3547443941368078,0.47248501737242127,0.5500913713968958,0.5371280554323725,0.5424162516629711,0.13263189711751663,0.13485751796008869,0.13607322416851442,0.5537550903155604,0.12451438487486398,0.5314920358306189,0.07676093496199782,0.39174704560260587,0
23759,2019,1025,0.5502439024390244,0.561471162109375,0.175112769140625,0.14605000595703124,0.379123912109375,0.482733380859375,0.5679862267326733,0.5499660811881187,0.5520030594059406,0.14332688396039606,0.14596680019801983,0.14294726465346536,0.551524167804878,0.12926332741463414,0.7553025634765625,0.2428570263671875,0.001840409970703125,0
22730,2019,672,0.5699404761904762,0.5131064962742176,0.25046882861400893,0.13580584053651268,0.38381221013412814,0.45473485543964237,0.5626211039755352,0.5510604525993884,0.5516557660550458,0.1043184122324159,0.11767021911314986,0.12072950504587157,0.5633752582089553,0.12645047656716418,0.6455579970193741,0.33823164381520116,0.016210355871833084,0
22717,2019,481,0.4781704781704782,0.5099465875,0.224514325,0.12564009041666666,0.42291841249999995,0.4514170666666667,0.4722852398286938,0.4816936209850107,0.4803461755888651,0.09855271605995718,0.10002957473233404,0.10272821113490364,0.5628321933471934,0.12355364261954262,0.6162133104166667,0.3818793020833333,0.001907376625,0
22118,2019,1104,0.48007246376811596,0.5119412756119675,0.2256803309156845,0.13535434469628288,0.3468218404351768,0.45393784587488667,0.4984852495412844,0.4869211889908257,0.48631134678899085,0.14340811394495415,0.14592296201834862,0.14705298220183488,0.5489962252497729,0.1318101051771117,0.6446664932003626,0.3049332710788758,0.05040024950135993,1
22703,2019,2933,0.5642686668939653,0.544855352319236,0.16762773345839016,0.11966914809004094,0.361083616643929,0.44536651364256485,0.5624132240532959,0.559424873772791,0.558330816970547,0.12158907082748949,0.12153870473352034,0.12142058906030856,0.5502767209302325,0.12396397458960329,0.5772616657571623,0.23449547817189634,0.1882428414392906,0
23411,2019,2521,0.5640618802062674,0.5642618658730159,0.14363750444444445,0.12181644452380952,0.3699916,0.431357042063492,0.5598417622176591,0.562306627926078,0.5590629843942505,0.11888725470225874,0.11982896603696098,0.11998091733059549,0.5477255896414343,0.12722204964143427,0.5156203813492063,0.4278115654761905,0.05656805527777777,0
23455,2019,826,0.513317191283293,0.4375561721212121,0.2686068812121212,0.13845321224242424,0.42583557333333333,0.37864656,0.5221371075401731,0.49168757107540173,0.47326569839307786,0.12381935315203955,0.13841167663782447,0.1368165177997528,0.5520257006060606,0.12311349733333334,0.6737999478787878,0.25317143684848487,0.07302864206060607,1
22154,2019,1059,0.559017941454202,0.5308115510396976,0.19778798534971645,0.11578619631379962,0.3737953922495274,0.4684564376181475,0.5616439615384615,0.5552094663461538,0.5558018913461538,0.11634603038461538,0.11560460375,0.11567824028846153,0.5477739896128423,0.127970291312559,0.4793540160680529,0.4067062315689981,0.11393973941398866,0
21789,2019,1010,0.5376237623762377,0.5532792705649158,0.1416369764122894,0.1344362842418236,0.3791417145688801,0.46055553121902876,0.5484852244488978,0.5412483997995992,0.5417411402805611,0.12682816703406813,0.12843412074148297,0.13088572905811624,0.5513316154608523,0.12751094023785928,0.5762664033696729,0.1718478081268583,0.25188580971258673,0
21372,2019,1083,0.4773776546629732,0.46043127356746766,0.22382069593345655,0.15658972393715342,0.3802333299445471,0.45579671719038817,0.4925230805243445,0.47688047284644197,0.47542515917602995,0.16561271011235953,0.1629968036516854,0.1641550663857678,0.542210637962963,0.1270044561111111,0.5812846654343808,0.3649498114602588,0.053765527264325326,1
22389,2019,895,0.6268156424581005,0.6263374944071589,0.15309323299776284,0.10144700939597315,0.34132766666666664,0.4573867662192394,0.6346458600451468,0.6323069401805869,0.6386779063205417,0.09764502742663657,0.1027987624153499,0.10171918261851016,0.5525546677852349,0.12926014865771812,0.586517730425056,0.38932909395973153,0.024153177964205817,0
22668,2019,320,0.615625,0.5355845893416928,0.17387939435736677,0.10429717523510973,0.3880076175548589,0.3904607272727273,0.5789456976744186,0.5688481461794019,0.5723407209302325,0.09517109302325583,0.09484958205980067,0.09490016411960132,0.5558551072555206,0.10706726277602523,0.6255589937304075,0.21862033949843263,0.1558206551724138,0
21654,2019,331,0.5861027190332326,0.5454886242424243,0.20338915151515152,0.08264854727272727,0.3835832303030303,0.41136395757575756,0.5337730527950311,0.5427774254658385,0.544205655279503,0.10926039565217392,0.10847088664596274,0.10620922236024843,0.5740631842900302,0.12237754773413896,0.6948257575757576,0.07235874272727272,0.23281548484848485,0
22508,2019,710,0.5422535211267606,0.5663336897038083,0.2122730197461213,0.1255722031029619,0.28896776727785617,0.5361014456981664,0.5491222206303725,0.5476968467048711,0.552457376790831,0.14521440616045844,0.14298226189111748,0.14049558638968482,0.5551641285310734,0.12878489336158191,0.7590999069111424,0.2340036263751763,0.006896464386459802,0
23415,2019,2982,0.6274312541918176,0.6318857624958067,0.119239849681315,0.10006165444481717,0.318297053673264,0.49190472660181145,0.6271239252336448,0.6300848328141225,0.6322685070958809,0.09882133305642092,0.09865510536517827,0.09779989736933195,0.5513574323232323,0.12881232821548821,0.6033012203958403,0.18551238913116402,0.21118638010734653,0
23694,2019,3142,0.5989815404201145,0.599807128939828,0.129994729353709,0.12374282168099332,0.37370241292581985,0.436423200254696,0.602314370638578,0.6004408604344964,0.6036798479262673,0.12343141998025017,0.12593273736010532,0.1260881516129032,0.5543435180453529,0.12636468150750557,0.5357802028016555,0.21778583540273797,0.24643395479146768,0
23090,2019,935,0.5636363636363636,0.5541969464668094,0.1725225682012848,0.13532222805139188,0.3660645128479657,0.4471975364025696,0.5554875163398693,0.5657440631808278,0.5655948779956427,0.1309941708061002,0.1207388388888889,0.12418698474945535,0.5510210353319057,0.12811729271948608,0.5916291349036402,0.21272802890792292,0.19564283297644539,0
